lookupVariable,lookupValue,newVariable,newValue
SubplotID,A01W,treatment,B
SubplotID,A01E,treatment,T
SubplotID,A02W,treatment,B
SubplotID,A02E,treatment,T
SubplotID,A03W,treatment,T
SubplotID,A03E,treatment,B
SubplotID,A04W,treatment,C
SubplotID,A04E,treatment,C
SubplotID,B01W,treatment,C
SubplotID,B01E,treatment,C
SubplotID,B02W,treatment,B
SubplotID,B02E,treatment,T
SubplotID,B03W,treatment,T
SubplotID,B03E,treatment,B
SubplotID,B04W,treatment,B
SubplotID,B04E,treatment,T
SubplotID,C01W,treatment,C
SubplotID,C01E,treatment,C
SubplotID,C02W,treatment,T
SubplotID,C02E,treatment,B
SubplotID,C03W,treatment,T
SubplotID,C03E,treatment,B
SubplotID,C04W,treatment,B
SubplotID,C04E,treatment,T
SubplotID,D01W,treatment,C
SubplotID,D01E,treatment,C
SubplotID,D02W,treatment,T
SubplotID,D02E,treatment,B
SubplotID,D03W,treatment,T
SubplotID,D03E,treatment,B
SubplotID,D04W,treatment,B
SubplotID,D04E,treatment,T
