"","SubplotID","species.rich","n","basal.area","biomass","simpsons.species","shannon.species","group"
"1","A01E",5,84,45418.9945946335,28742.0185094416,0.506394880970035,1.03412630577461,"A"
"2","A01W",4,85,48149.7611769134,29423.2977679356,0.513629319393643,0.987379392240563,"A"
"3","A02E",4,64,31949.5181941285,20587.6072792483,0.616630986144432,1.12936399751489,"A"
"4","A02W",5,82,50697.8127304604,32063.6513766492,0.322248537259322,0.632829959254796,"A"
"5","A03E",5,91,36507.073780581,22338.9282413529,0.745265907265431,1.41083479764969,"A"
"6","A03W",7,90,35682.1622355831,21817.1000070059,0.62191675772167,1.17317401187006,"A"
"7","A04E",6,77,49330.6308775263,30957.9395273387,0.388077935515817,0.783480926808472,"A"
"8","A04W",4,83,40512.9578430816,25716.8229901624,0.706632052428872,1.28546851074322,"A"
"9","B01E",5,80,35573.6908952362,21321.9309794566,0.616446641499859,1.06814688910086,"B"
"10","B01W",4,83,42632.8417338709,25072.3984281039,0.576100644425897,1.01074099376633,"B"
"11","B02E",7,87,39291.1296282474,24627.7434986059,0.684931682522491,1.36107866923548,"B"
"12","B02W",6,95,51317.6568149954,31395.8535982547,0.585871334515531,1.12498110817271,"B"
"13","B03E",7,54,20648.3847510945,10731.7026022586,0.539070865499245,0.945850329793011,"B"
"14","B03W",5,95,49948.2130153507,31020.3726139015,0.532165266332827,1.01927834423904,"B"
"15","B04E",5,87,40504.2320694862,23534.3349999378,0.484459716623338,0.870390783358478,"B"
"16","B04W",7,74,29393.7069067271,16181.8576430864,0.570621989582794,1.00282593782481,"B"
"17","C01E",8,85,28412.2183838742,15881.6530813,0.62210277368278,1.22724311155569,"C"
"18","C01W",7,65,25589.4581147156,15824.0899364991,0.547682949681133,1.01530374992904,"C"
"19","C02E",7,101,38121.2319399771,20619.3253671839,0.415924873554961,0.85317156986885,"C"
"20","C02W",6,114,46684.396699573,25415.5112028904,0.319289907795463,0.663695620258967,"C"
"21","C03E",7,74,37171.2221755132,21501.7649485645,0.702445240460958,1.40480238281785,"C"
"22","C03W",9,97,44914.1799251098,24064.9061237505,0.76063927250121,1.57318907444923,"C"
"23","C04E",5,75,24917.4086142597,14963.2152063316,0.453257582434009,0.868895905288414,"C"
"24","C04W",5,90,29257.8016085328,19293.3031705505,0.383572153046886,0.747147738517802,"C"
"25","D01E",5,60,25594.6103266675,17401.7202487697,0.292164840308437,0.642264910311732,"D"
"26","D01W",4,50,22351.55993833,15765.7071071391,0.283647444462542,0.591385702535065,"D"
"27","D02E",5,81,33012.5310463421,23061.6851650255,0.390469799999957,0.804973840352675,"D"
"28","D02W",5,73,27568.7792962017,17507.1268692755,0.347996943931778,0.725127904326945,"D"
"29","D03E",6,94,31183.8335246324,17509.9262474808,0.645343421910069,1.2481092205991,"D"
"30","D03W",6,76,29021.357491442,17276.5682401219,0.610514664933898,1.11904684684408,"D"
"31","D04E",5,57,18445.9162434239,11198.6706087935,0.700943150953947,1.32991942386359,"D"
"32","D04W",3,74,12714.5673938106,4978.78636973058,0.568233908791372,0.942755241017864,"D"
